Banda,Valor Medio
Banda 1,650.25
Banda 2,672.75
Banda 3,752.25
Banda 4,776.5
Banda 5,971.0
Banda 6,1224.25
Banda 7,1306.5
Banda 8,1397.0
Banda 9,1417.5
Banda 10,1047.0
Banda 11,2.0
Banda 12,669.25
