Banda,Valor Medio
Banda 1,611.25
Banda 2,634.25
Banda 3,717.75
Banda 4,753.75
Banda 5,952.5
Banda 6,1186.75
Banda 7,1267.75
Banda 8,1359.5
Banda 9,1420.5
Banda 10,1043.25
Banda 11,2.0
Banda 12,942.75
