Banda,Valor Medio
Banda 1,1212.7297297297298
Banda 2,1300.6216216216217
Banda 3,1447.2432432432433
Banda 4,1551.945945945946
Banda 5,1812.8648648648648
Banda 6,2285.5675675675675
Banda 7,2463.837837837838
Banda 8,2639.3783783783783
Banda 9,2711.7837837837837
Banda 10,2198.891891891892
Banda 11,4.108108108108108
Banda 12,1234.2162162162163
