Banda,Valor Medio
Banda 1,1260.6666666666667
Banda 2,1322.3333333333333
Banda 3,1466.6666666666667
Banda 4,1742.6666666666667
Banda 5,1902.3333333333333
Banda 6,2028.0
Banda 7,2125.3333333333335
Banda 8,2284.6666666666665
Banda 9,2842.6666666666665
Banda 10,2567.6666666666665
Banda 11,5.0
Banda 12,76.0
