Banda,Valor Medio
Banda 1,1082.25
Banda 2,1190.5
Banda 3,1305.5
Banda 4,1498.0
Banda 5,1652.0
Banda 6,1794.75
Banda 7,1934.25
Banda 8,2093.25
Banda 9,3029.5
Banda 10,2718.5
Banda 11,3.75
Banda 12,1617.75
