Banda,Valor Medio
Banda 1,1381.157894736842
Banda 2,1463.0
Banda 3,1604.8157894736842
Banda 4,1593.2894736842106
Banda 5,1964.3947368421052
Banda 6,2742.3684210526317
Banda 7,3004.5789473684213
Banda 8,3225.8684210526317
Banda 9,2831.5789473684213
Banda 10,2170.8684210526317
Banda 11,4.131578947368421
Banda 12,913.2105263157895
