Banda,Valor Medio
Banda 1,1114.5
Banda 2,1187.5
Banda 3,1318.25
Banda 4,1498.25
Banda 5,1676.5
Banda 6,1814.75
Banda 7,1944.5
Banda 8,2120.5
Banda 9,2999.0
Banda 10,2544.75
Banda 11,3.75
Banda 12,77.0
