Banda,Valor Medio
Banda 1,962.6470588235294
Banda 2,926.7254901960785
Banda 3,1045.8039215686274
Banda 4,1103.235294117647
Banda 5,1277.5686274509803
Banda 6,1601.9607843137255
Banda 7,1715.7450980392157
Banda 8,1822.8823529411766
Banda 9,1870.1764705882354
Banda 10,1601.5882352941176
Banda 11,3.2549019607843137
Banda 12,42.568627450980394
