Banda,Valor Medio
Banda 1,1089.25
Banda 2,1198.5
Banda 3,1298.75
Banda 4,1464.0
Banda 5,1637.25
Banda 6,1795.0
Banda 7,1913.0
Banda 8,2070.25
Banda 9,2976.75
Banda 10,2646.25
Banda 11,3.75
Banda 12,969.75
